code ,GrowthRate ,MarketType ,R&Dintensity ,FirmSize 
Q02830380.00,-41.09,3,32.95,1700.82
Q02542532.00,27.28,3,32.92,2168.75
Q01727626.00,39.11,3,32.68,724.98
Q00519174.00,8.77,3,32.62,5014.3
Q00519845.00,19.2,3,32.37,1199.81
Q00326279.00,7.16,3,32.26,3044.29
Q01715362.00,53.57,3,31.83,1875.77
Q01711004.00,25.23,3,31.24,4426.16
Q01712114.00,-21.53,2,30.71,1332.33
Q00283981.00,-10.13,3,30.65,3496.01
Q02667403.00,-15.56,3,30.59,5865.73
Q00408439.00,-6.28,3,30.13,1700.73
Q02309909.00,-21.2,3,30.07,1850.77
Q02539352.00,-15.89,3,29.62,6413.26
Q00215480.00,-42.88,3,29.4,823.37
Q00063103.00,28.83,3,29,3048.61
Q00370125.00,-10.21,3,28.54,4728.58
Q00307133.00,-28.8,3,28.5,1687.17
Q02670275.00,-25.65,1,28.42,1496.02
Q01885032.00,-53.12,3,28.09,2516.32
Q00513007.00,-39.63,1,27.73,971.85
Q02054859.00,7.12,3,27.23,13758.54
Q00394659.00,0.53,1,27.01,5233.55
Q02650559.00,-8.31,3,26.52,2082.8
Q02232781.00,5.98,2,26.5,1668.99
Q00264172.00,-4.46,3,26.28,1720.14
Q01268916.00,9.01,1,25.43,1394.43
Q00125239.00,37.31,3,25.04,6110.89
Q01917448.00,9.97,3,24.71,2527.05
Q02823992.00,36.58,3,24.57,662.03
Q00197814.00,49.22,2,24.24,3442.17
Q00460587.00,93.76,3,24.17,6860.68
Q02650594.00,4.22,1,23.9,1356.87
Q01752239.00,-18.12,2,23.85,4276.51
Q00400605.00,-16.8,3,23.83,1167.49
Q01624145.00,-14.7,6,23.77,1919.46
Q02183698.00,3.92,2,23.42,1459.22
Q02015696.00,2.61,3,22.99,359.69
Q00330463.00,16.61,3,22.91,1438.4
Q00449229.00,-14.02,3,22.82,1092.94
Q01881300.00,-6.19,3,22.66,993.56
Q00091275.00,-9.57,2,22.66,2976.01
Q00408486.00,14.43,2,22.65,3017.54
Q01643674.00,45.43,3,22.5,2199.01
Q00227647.00,14.35,3,22.25,368.65
Q00276887.00,125.02,3,22.21,7313.29
Q00182725.00,-1.49,3,22.02,3367.28
Q02738309.00,-72.38,3,21.99,1878.74
Q02795642.00,-40.72,3,21.92,1466.62
Q02739848.00,-40.18,2,21.76,902.68
Q02517562.00,51.62,3,21.72,4645.48
Q00008334.00,10.06,2,21.7,2053.68
Q00250355.00,28.3,2,21.68,1460.31
Q00382614.00,17.28,1,21.65,3778.98
Q00326856.00,1.93,3,21.56,355.56
Q01714347.00,16.07,3,21.38,5865.08
Q00500068.00,-2.41,1,21.36,953.82
Q00512337.00,13.03,1,21.15,2148.38
Q01746951.00,20.35,1,21.1,1506.83
Q02349366.00,38.99,3,21.05,4360.49
Q00375819.00,38.62,6,20.91,2982.07
Q00403063.00,-53.5,6,20.74,2134.64
Q00539095.00,-8.32,8,20.56,1605.08
Q00388048.00,16.47,1,20.48,493.87
Q00519262.00,20.04,1,20.46,2035.04
Q02733946.00,51.56,1,20.45,1359.8
Q02653422.00,-4.27,2,20.45,1513.93
Q00249210.00,-3.33,2,20.35,4661.27
Q02668045.00,25.44,3,20.32,1328.77
Q01995029.00,48.62,3,20.27,6325.65
Q02712373.00,59.96,1,20.22,3819.74
Q00404675.00,16.56,3,20.2,368.21
Q00393462.00,-34.79,3,20.19,4224.67
Q00445696.00,-2.54,3,20.15,1020.82
Q02789653.00,14.74,1,20.13,678.41
Q02800801.00,25.69,3,20.08,1973.51
Q02795413.00,30.3,1,19.92,2788.98
Q01213994.00,20.08,1,19.87,1234.87
Q01908980.00,0.12,3,19.85,1950.46
Q00526479.00,-2.25,3,19.77,2372.93
Q00371799.00,25.6,1,19.6,2928.11
Q02650519.00,52.5,3,19.59,20034.78
Q00446734.00,6.89,3,19.46,1967.93
Q02827020.00,-42.58,3,19.46,3369.25
Q02826383.00,11.09,3,19.26,1872.02
Q02654187.00,7.69,2,19.25,11218.32
Q00062856.00,22.13,5,19.24,15192.12
Q02650545.00,30.95,2,19.22,1995.12
Q00408339.00,3.28,3,19.11,1180.1
Q00402166.00,-25.21,2,19.07,1684.22
Q01910409.00,15.95,2,19.02,1302.56
Q02740030.00,-6.68,2,18.92,2368.08
Q00163126.00,42.17,3,18.86,2187.88
Q02800905.00,3.21,3,18.74,3681.53
Q02627871.00,17.21,2,18.68,1179.66
Q02742355.00,-22.06,3,18.66,1340.07
Q00369521.00,1.07,3,18.61,6888.51
Q01286541.00,-1.15,3,18.46,787.02
Q02742322.00,127.59,3,18.22,25859.56
Q02650263.00,14.84,1,18.09,5547.12
Q01927719.00,-48.54,1,18.02,1440.76
Q02598711.00,-1.17,2,17.97,1591.17
Q00311086.00,-6.6,2,17.77,549.65
Q02650755.00,66.32,1,17.71,3031.57
Q02667408.00,-5.86,3,17.53,1909.07
Q00403096.00,-8.45,3,17.42,1926.67
Q01444862.00,26.34,2,17.37,1820.51
Q01448719.00,32.24,5,17.18,1000.08
Q00182678.00,-45.28,3,17.08,1719.95
Q00356709.00,23.28,6,16.99,8866.81
Q02222721.00,37.76,1,16.82,1000
Q02667666.00,0.65,1,16.75,2625.57
Q02743261.00,-10.9,3,16.74,1324.14
Q01930221.00,30.39,1,16.74,2958.41
Q00159954.00,-13.08,2,16.7,10055.75
Q02628878.00,58.14,2,16.59,1952.9
Q00331349.00,9.65,5,16.36,1219.45
Q02877188.00,18.45,3,16.17,1466.45
Q02073894.00,36.62,2,16.16,1942.57
Q02747276.00,-16.15,3,16.07,2406.54
Q02659853.00,31.17,2,16.05,2253.69
Q02650557.00,-1.64,1,15.98,4504.8
Q00351172.00,27.36,2,15.87,24204.52
Q00460355.00,35.28,1,15.83,1012.03
Q02434887.00,-22.62,2,15.54,2338.3
Q02877973.00,-33.7,1,15.47,1992.79
Q00394698.00,39.92,3,15.45,1034.44
Q00523380.00,30.47,2,15.41,5818.73
Q02650569.00,43.33,3,15.34,10686.05
Q00522026.00,45.83,2,15.18,1082.92
Q00399645.00,1.15,2,15.01,2522.3
Q00394679.00,3.48,1,14.99,1614.02
Q01714995.00,56.82,3,14.99,2047.6
Q02737125.00,8.56,2,14.98,543.46
Q02691031.00,19.56,1,14.98,1851.11
Q02869327.00,-24.76,3,14.95,1807.76
Q02545012.00,-1.8,4,14.93,1410.53
Q00372447.00,15.65,3,14.93,1693.88
Q01224226.00,18.58,3,14.9,742.49
Q01735306.00,77.25,3,14.88,8175.56
Q00408307.00,40.12,2,14.84,3597.74
Q01692662.00,2.39,2,14.69,3158.71
Q00404468.00,-21.83,1,14.59,877.69
Q00216386.00,-10.86,2,14.54,4283.55
Q01446139.00,30.9,1,14.49,1599.89
Q02786906.00,-18.81,2,14.49,1826.78
Q00307143.00,-7.23,3,14.42,985.97
Q01447108.00,46.74,2,14.38,2225.98
Q00264849.00,-13.92,5,14.34,902.09
Q02544949.00,32.17,3,14.32,2304.32
Q01719583.00,40.97,1,14.26,2143.1
Q02296744.00,54.11,2,14.19,1950.08
Q00181123.00,4.48,5,14.19,2008.34
Q00295794.00,33.81,2,14.16,2244.45
Q00354604.00,-2.17,1,14.15,2444.44
Q00284449.00,-35.36,1,14.13,1807.45
Q00459839.00,-0.78,3,14.07,1252.95
Q02222544.00,-1.19,3,14.05,3171.8
Q00492759.00,1.61,3,14,7181.71
Q00397963.00,15.98,3,13.89,2707.43
Q01720851.00,10.43,3,13.83,2718.03
Q02645928.00,14.77,1,13.72,949.71
Q00508273.00,20.48,3,13.71,1845.3
Q02650518.00,20.36,1,13.7,1043.14
Q00490510.00,12.31,3,13.69,1047.47
Q02650568.00,80.21,3,13.67,2057.37
Q02055245.00,12.83,1,13.67,5007.05
Q00093186.00,34.86,2,13.59,1768.56
Q00326690.00,15.58,2,13.57,1392.78
Q00195965.00,8.43,2,13.51,3409.77
Q01886284.00,2.02,1,13.37,904.28
Q02739056.00,37.06,2,13.26,1463.09
Q00186419.00,1.36,2,13.23,2209.73
Q02135545.00,104.86,3,13.14,7826.76
Q00374795.00,21.74,1,13.07,728.98
Q00504689.00,22.9,3,13.02,1117.02
Q00306326.00,2.32,1,13.02,1217.65
Q01216570.00,32.51,1,12.99,1546.66
Q02868474.00,-3.62,3,12.95,2092.55
Q00260031.00,-32.02,3,12.82,4076.9
Q00400959.00,-17.84,3,12.76,1908.51
Q00401142.00,-18.05,5,12.64,1367.21
Q01739248.00,-45.94,1,12.59,872
Q00199929.00,53.97,2,12.56,1393.53
Q02830750.00,7.4,3,12.49,2062.75
Q00246550.00,16.96,1,12.43,3602.09
Q00385346.00,32.36,3,12.4,584.18
Q02797331.00,-7.67,3,12.37,6054.01
Q00512274.00,-4.43,1,12.35,5618.37
Q02652428.00,0.84,2,12.09,944.56
Q00277306.00,-16.05,1,12.04,779.53
Q00368221.00,-40.5,1,12.03,766.07
Q00460120.00,67.32,3,12.03,5968.6
Q02904416.00,36.67,1,12.02,1138.57
Q01711595.00,-5.47,3,12.01,740.46
Q00490902.00,14.26,2,11.96,2490.08
Q02794241.00,43.47,3,11.91,1672.92
Q00027790.00,2.57,3,11.85,2380.2
Q02738564.00,10.64,1,11.83,1471.36
Q02577663.00,80.31,1,11.69,9443.98
Q01883870.00,63.81,1,11.43,4557.24
Q00397148.00,25.57,2,11.42,521.74
Q01287078.00,3.69,1,11.41,2057.81
Q00394681.00,11.38,1,11.34,889.82
Q02306582.00,7.49,1,11.33,461.13
Q01457603.00,55.05,1,11.31,4816.74
Q02324040.00,38.41,2,11.28,2347.75
Q02187025.00,-35.67,1,11.27,1755.52
Q00413282.00,3.95,2,11.25,1088.72
Q02782491.00,31.22,1,11.25,1278.84
Q02742170.00,-21.46,3,11.18,869.13
Q02738989.00,27.57,1,11.12,1794.65
Q02789888.00,25.66,1,11.1,2120.74
Q02739138.00,91,2,11.1,6005.21
Q02654828.00,21.89,3,11,3371.36
Q01682212.00,67.12,3,10.99,3496.33
Q00501195.00,-1.13,1,10.98,1446
Q02683294.00,10.32,2,10.97,1510.4
Q02737330.00,-6.83,1,10.92,625.3
Q00402570.00,-3.76,1,10.82,961.53
Q00349578.00,-52.25,1,10.79,5166.37
Q01943186.00,5.84,3,10.7,1843.58
Q00501288.00,15.95,1,10.66,1442.4
Q00368122.00,10.3,3,10.62,1285.45
Q01637086.00,8.39,1,10.6,6836.62
Q00160237.00,46.56,1,10.45,13062.62
Q01731341.00,-29.33,3,10.35,2212.76
Q00512195.00,4.24,3,10.34,30893.23
Q00522306.00,1.72,3,10.31,4333.35
Q00271524.00,31.44,4,10.3,1476.48
Q00459665.00,0.54,1,10.29,2415.2
Q02492685.00,-9.23,8,10.26,4390.64
Q00373772.00,25.72,1,10.26,7620.17
Q00125321.00,19.26,1,10.24,48509.55
Q00210656.00,25.45,3,10.22,798.61
Q02626615.00,34.72,2,10.21,5489
Q02824152.00,-3.88,3,10.18,3707.36
Q02791599.00,10.45,1,10.12,1265.13
Q01446597.00,106.89,1,10.11,8869.49
Q02794309.00,1.89,3,10.07,580.42
Q00125568.00,38.97,3,10,305103.69
Q02821839.00,37.93,1,9.97,8325.15
Q01225765.00,-8.53,2,9.95,6008.46
Q02650928.00,9.75,5,9.91,3918.22
Q00275869.00,0.28,3,9.81,1452
Q02122715.00,3.48,5,9.76,2317.66
Q02779691.00,12.23,3,9.65,444.04
Q02780567.00,1.03,3,9.63,4323.59
Q02210691.00,21.89,3,9.58,2295.68
Q00388994.00,21.54,1,9.56,1038.26
Q00252186.00,16.54,1,9.56,2254.86
Q02338305.00,47.05,1,9.55,6856.58
Q00062800.00,5.02,1,9.47,1300.02
Q02067200.00,22.61,1,9.46,1412.93
Q00298059.00,-33.23,3,9.44,1788.06
Q02877711.00,48.64,3,9.44,3385.31
Q02895728.00,13.89,3,9.35,610.4
Q01615468.00,10.04,1,9.35,1131.96
Q01883465.00,9.4,2,9.3,2191.37
Q01634689.00,-6.03,2,9.22,1953.79
Q00393709.00,40.05,1,9.21,737.68
Q02792904.00,31.37,1,9.21,4219.39
Q00237901.00,6.14,1,9.19,23786.65
Q02739924.00,-15.1,3,9.18,18152.18
Q00125780.00,8.77,3,9.16,26457.8
Q02799412.00,32.92,1,9.14,1384.16
Q00415375.00,10.1,1,9.13,961.97
Q00284454.00,-35.79,1,8.98,960.57
Q02690629.00,-5.36,4,8.96,2316.61
Q00363226.00,4.57,6,8.93,5286.06
Q02736880.00,4.76,1,8.93,5553.47
Q02465521.00,37.53,3,8.92,1489.87
Q00395510.00,35.87,1,8.91,1349.03
Q01983802.00,10.51,5,8.9,1574.81
Q02745219.00,-14.17,1,8.88,1462.55
Q02458552.00,50.4,3,8.88,2417.78
Q00313388.00,26.61,1,8.87,1039.68
Q00399221.00,-16.52,2,8.87,1163.07
Q02548106.00,9.35,1,8.78,1732.73
Q02738560.00,13.74,3,8.75,1014.04
Q00063462.00,-2.31,5,8.67,2136.27
Q00434769.00,0.37,1,8.63,894.02
Q00500548.00,27.58,3,8.63,2298.91
Q00182696.00,20.56,2,8.55,6892.4
Q02590266.00,85.13,3,8.53,38764.57
Q01214155.00,59.69,1,8.51,471.81
Q00288377.00,21.49,2,8.48,473.38
Q00007891.00,26.74,1,8.48,2679.5
Q01655609.00,28.46,2,8.43,1964.58
Q00009177.00,18.36,1,8.42,1917.01
Q00157542.00,1.72,2,8.35,3894.02
Q00197462.00,-8.59,3,8.25,1311.49
Q02471977.00,51.59,1,8.19,1518.71
Q02745060.00,10.2,1,8.16,1134.5
Q01452144.00,-17.49,1,8.09,748.13
Q01713848.00,17.15,3,8.06,3752.06
Q02580167.00,19.79,1,8.04,1406.31
Q02899791.00,12.9,3,8.03,2843.39
Q02688362.00,5.85,1,8.02,1217.65
Q00159708.00,19.95,1,8.01,4068.48
Q00371471.00,53.16,1,7.99,717.65
Q00172047.00,6.91,3,7.96,17824.65
Q01225849.00,27.17,1,7.95,2062.02
Q01224190.00,59.1,1,7.93,1418.61
Q01919039.00,15.73,1,7.92,3325.77
Q01922821.00,15.35,1,7.9,1273.85
Q01679302.00,83.18,3,7.89,6640.48
Q00327213.00,-2.94,3,7.88,754.44
Q02497552.00,15.76,3,7.88,2809.66
Q02745057.00,25.74,1,7.87,1767.69
Q02738561.00,47.74,5,7.81,2016.95
Q00512349.00,70,4,7.76,7247.37
Q00517307.00,24.5,1,7.72,1773.48
Q00206943.00,-10.22,1,7.72,3869.67
Q02681999.00,3.28,4,7.69,17827.28
Q00520160.00,12.89,2,7.63,638.14
Q02880231.00,24.75,1,7.62,1319.55
Q02880087.00,-0.25,3,7.59,4823.07
Q00380649.00,11.36,1,7.58,6248.83
Q02490001.00,-1.08,1,7.57,2444.75
Q00182764.00,-2.65,3,7.53,2589.99
Q00015423.00,26.16,3,7.5,3016.98
Q02742169.00,26.57,1,7.48,2082.1
Q02538986.00,41.22,3,7.47,2196.98
Q00398101.00,-21.99,1,7.45,789.27
Q00449227.00,23.44,8,7.45,1610.83
Q00402791.00,95.47,1,7.41,829.32
Q01724817.00,42.12,2,7.41,2329.58
Q01223759.00,-4.63,2,7.4,1612.01
Q00400949.00,75.88,1,7.38,5798.75
Q02651459.00,13.56,6,7.37,10833.05
Q00183658.00,20.4,1,7.36,812.62
Q00207582.00,2.95,3,7.32,562.26
Q00264220.00,5.35,3,7.32,2426.85
Q02652427.00,7.09,3,7.3,1759.66
Q02288529.00,32.38,3,7.29,1319.38
Q00402909.00,21.37,4,7.28,2994.49
Q00060101.00,35.23,3,7.21,4964.26
Q00354561.00,6.14,1,7.13,19807.59
Q00461490.00,8.57,1,7.08,1286.35
Q00398739.00,-2.96,3,7.05,3340.46
Q00165644.00,23.25,3,7.01,2538.09
Q00182869.00,-14.06,5,6.99,2819.58
Q02733941.00,8.67,3,6.98,1472.1
Q02477859.00,-18.79,3,6.98,1903.59
Q00452045.00,34.85,2,6.98,1923.66
Q00309440.00,68.18,3,6.94,1688.99
Q00347934.00,64.07,1,6.94,7373.78
Q02081950.00,18.09,3,6.93,3195.63
Q00194043.00,-18.76,1,6.91,848.76
Q02744747.00,23.93,1,6.91,1893.17
Q00517517.00,3.17,2,6.91,3048.27
Q02880201.00,42.02,1,6.88,877.87
Q00481262.00,12.74,2,6.86,2008.97
Q00375750.00,101.64,1,6.85,5661.22
Q02115755.00,12.01,1,6.82,7792.96
Q00159428.00,103.79,1,6.79,105639.43
Q02828523.00,29.2,1,6.78,3695.91
Q01289812.00,-28.04,6,6.77,941.84
Q00159124.00,-10.19,3,6.74,4888.97
Q00271022.00,-13.33,1,6.71,3745.36
Q02145629.00,8.03,1,6.7,1775.98
Q00404385.00,72.94,1,6.69,8508.44
Q02736936.00,31.29,1,6.68,4153
Q02743915.00,-21.17,3,6.66,1046.09
Q00392277.00,-27.37,1,6.66,1210.41
Q00063407.00,-5.15,1,6.65,2042.76
Q00376512.00,42.65,1,6.61,2986.68
Q02182265.00,2.38,2,6.5,1108.01
Q02830573.00,31.11,4,6.41,3168.32
Q00282437.00,57.91,3,6.41,47876.61
Q00404809.00,-24.69,6,6.4,799.02
Q00373784.00,191.55,1,6.35,8089.54
Q02750557.00,93.23,1,6.34,7317.73
Q00284117.00,1.03,1,6.33,903.64
Q00391030.00,127.92,1,6.31,5646.36
Q02670794.00,237.95,2,6.28,4211.52
Q00284790.00,20.89,1,6.23,26415.39
Q00207484.00,35.86,6,6.21,2235.1
Q02594184.00,91.26,1,6.13,1795.13
Q00394000.00,-28.73,2,6.12,1605.34
Q02658857.00,80.88,2,6.12,4699.72
Q02651379.00,28.53,8,6.1,8681.75
Q00311753.00,8.19,3,6.08,1128.57
Q01719371.00,-20.27,4,6.08,1241.11
Q02651209.00,50.77,1,6.04,3005.77
Q00404729.00,-12.67,3,6.03,505.71
Q01863527.00,39.09,1,6,7966.09
Q00195000.00,12.66,4,5.99,4105.79
Q00392975.00,-15.98,1,5.97,3970.19
Q02825368.00,-0.3,3,5.91,391.23
Q00396642.00,40.12,3,5.87,1743.04
Q00445393.00,45.95,3,5.87,25462.61
Q00300741.00,21.84,1,5.85,1715.42
Q00366867.00,-4.44,2,5.83,6015.06
Q01786888.00,-13.78,2,5.83,10703.74
Q00306294.00,5.96,4,5.82,1537.62
Q00398193.00,22.22,4,5.81,475.42
Q00151982.00,44.41,4,5.8,11305.87
Q02652206.00,10.7,6,5.76,9392.87
Q01982473.00,-14.97,1,5.74,4538.7
Q00215659.00,-0.78,1,5.7,3480.53
Q02750552.00,4.57,2,5.69,2751.22
Q02222838.00,0.49,1,5.68,1076.72
Q00407396.00,16.68,1,5.59,1378.88
Q02665400.00,5.96,3,5.59,8318.7
Q00278270.00,48.69,4,5.54,2027.09
Q00394482.00,47.26,1,5.54,5954
Q01714188.00,37.55,2,5.53,2359.21
Q00077953.00,-3.09,3,5.53,6961.32
Q02052291.00,42.52,1,5.48,1371.26
Q02306801.00,19.91,1,5.43,1849.46
Q01596645.00,1.24,4,5.43,6201.04
Q00205945.00,91.21,1,5.43,89976.06
Q02743580.00,4.57,3,5.42,1139.3
Q00283958.00,80.23,6,5.42,2982.87
Q02272522.00,32.03,1,5.41,1008.6
Q02638967.00,-33.76,2,5.37,3899.27
Q01771441.00,287.97,2,5.34,6941.68
Q00354175.00,-10.35,4,5.32,1165.45
Q01866817.00,23.02,4,5.32,10463.56
Q02656403.00,-8.68,1,5.3,1783.95
Q02379216.00,42.88,2,5.23,9173.76
Q00164636.00,43.69,1,5.21,7467.13
Q02740438.00,2.61,4,5.19,1497.11
Q02749513.00,54.68,4,5.19,2524.96
Q02743030.00,3.79,1,5.17,2590.89
Q02826463.00,9.97,1,5.17,3750.58
Q02556498.00,231.08,1,5.16,32127.17
Q01884484.00,-5.35,1,5.06,4150.56
Q02272771.00,58.9,3,5.03,2583.42
Q00468010.00,6.56,1,5.02,3172.55
Q02902441.00,236.25,1,5.01,2401.26
Q00480545.00,41.83,1,5.01,4204.04
Q02659475.00,126.11,6,4.99,4058.4
Q01208516.00,28.1,4,4.97,2826.07
Q00026449.00,86.26,4,4.94,1490.89
Q00218929.00,65.5,1,4.94,10795.77
Q01676421.00,6.1,4,4.93,882.76
Q02367575.00,42.74,3,4.92,2926.43
Q00157787.00,54.38,1,4.9,2248.37
Q00396390.00,20.5,4,4.83,3971.6
Q00249910.00,9.42,1,4.83,5298.92
Q00208532.00,-48.61,1,4.83,30207.99
Q00397511.00,32.35,1,4.81,3130.29
Q00401414.00,25.63,1,4.78,1667.18
Q02244046.00,39.51,1,4.78,4062.73
Q01644619.00,-17.91,1,4.76,2151.5
Q01882285.00,16.83,4,4.73,2541.98
Q00393992.00,51.49,1,4.72,2988.82
Q01668339.00,15.11,6,4.71,891.73
Q02875433.00,30.72,3,4.66,3763.51
Q00306320.00,70.9,1,4.66,6477.83
Q00199739.00,4.81,1,4.66,116806.54
Q00274862.00,40.91,1,4.62,2985.5
Q00242429.00,-26.62,3,4.57,6875.78
Q00368571.00,38.23,1,4.56,2420.01
Q00478138.00,-11.08,3,4.51,2701.34
Q00394322.00,15.23,2,4.5,4743.85
Q02564373.00,-5.7,3,4.46,30846.49
Q00373143.00,-2.72,4,4.45,2186.06
Q02618514.00,7.76,1,4.45,3249.63
Q00366788.00,29.66,3,4.44,1937.26
Q01882915.00,2.32,1,4.42,2016.41
Q00193737.00,3.32,1,4.41,2920.68
Q00185667.00,12.97,4,4.3,4734.52
Q00444500.00,21.38,1,4.29,1687.39
Q00271226.00,3.17,1,4.27,1724.11
Q01989531.00,14.44,3,4.23,4411.2
Q02781998.00,6.72,1,4.21,2532.13
Q00345513.00,20.6,4,4.13,2389.78
Q02323440.00,5.18,1,4.12,3175.08
Q00152387.00,101.27,1,4.1,4958.42
Q00401624.00,152.21,1,4.09,1544.43
Q02545230.00,5.68,4,4.07,6442.59
Q00296069.00,86.16,7,4.06,2301.36
Q02738144.00,13.99,1,3.97,1209.4
Q00373919.00,-10.45,1,3.95,1196.53
Q02868305.00,7.86,1,3.94,2812.1
Q02233147.00,35.1,1,3.92,3749.28
Q00240636.00,-24.74,1,3.92,7691.73
Q00511793.00,-0.8,4,3.82,1766.65
Q02732744.00,-6.75,1,3.81,4807.72
Q00404258.00,30.48,1,3.67,1867.82
Q00251158.00,162.75,1,3.67,17657.21
Q00184113.00,0.78,1,3.66,1687.61
Q00195946.00,8.18,1,3.64,32377.57
Q00404231.00,185.64,1,3.57,52264.89
Q00384833.00,30.69,1,3.52,2525.12
Q00541223.00,454.03,1,3.52,19858.57
Q02582582.00,53.29,1,3.44,5592.36
Q00396977.00,32.67,1,3.41,2309.73
Q02652619.00,94.95,2,3.36,4891
Q00508299.00,33.84,3,3.33,2394.57
Q02830785.00,27.94,1,3.3,5811.28
Q00201124.00,-0.01,4,3.29,1457.04
Q00396826.00,453.86,1,3.27,3230.25
Q00388372.00,55.7,4,3.24,4084.96
Q02325678.00,91.21,1,3.19,4105.76
Q00112575.00,3.49,4,3.14,1927.58
Q00397396.00,18.43,4,3.03,1529.22
Q02130379.00,80.55,1,2.63,15380.37
Q00504068.00,152.69,1,1.8,11071.74
Q02687975.00,-10.27,4,1.79,1823.75
Q02623301.00,193.62,1,1.62,25660.05
dd,69.71,1,0.98,48300.2
,,,,
数据来源：同花顺iFinD,,,,
